region,type,sqfeet,beds,baths,comes_furnished,laundry_options,parking_options,cats_allowed,dogs_allowed,price
huntsville / decatur,apartment,780,2,1.0,0,w/d hookups,off-street parking,1,1,679
huntsville / decatur,apartment,1248,2,2.0,0,w/d hookups,off-street parking,1,1,1038
huntsville / decatur,apartment,750,2,1.0,0,w/d hookups,off-street parking,1,1,685
huntsville / decatur,apartment,730,1,1.0,0,laundry on site,off-street parking,1,1,650
anchorage / mat-su,apartment,1100,2,1.0,0,w/d in unit,off-street parking,1,0,1045
huntsville / decatur,townhouse,900,3,2.0,0,laundry on site,off-street parking,1,1,695
huntsville / decatur,townhouse,700,2,1.0,0,laundry on site,off-street parking,0,1,525
huntsville / decatur,apartment,500,1,1.0,0,laundry on site,off-street parking,1,1,425
huntsville / decatur,apartment,856,1,1.0,0,w/d hookups,off-street parking,1,1,875
huntsville / decatur,apartment,800,2,1.0,1,laundry on site,off-street parking,1,1,674
huntsville / decatur,apartment,1117,2,2.0,0,w/d hookups,off-street parking,1,1,1005
huntsville / decatur,apartment,792,1,1.0,0,w/d hookups,off-street parking,1,1,855
huntsville / decatur,apartment,500,1,1.0,0,laundry on site,off-street parking,0,0,400
huntsville / decatur,apartment,1390,2,1.0,0,w/d hookups,off-street parking,1,1,835
huntsville / decatur,house,2850,4,3.0,0,w/d hookups,off-street parking,0,0,1100
huntsville / decatur,apartment,750,2,1.0,0,w/d hookups,off-street parking,0,0,500
huntsville / decatur,manufactured,1000,2,1.0,0,w/d hookups,off-street parking,1,1,400
huntsville / decatur,apartment,2160,4,2.5,0,w/d hookups,attached garage,0,0,1850
anchorage / mat-su,apartment,840,3,1.0,0,w/d in unit,off-street parking,1,1,1265
huntsville / decatur,apartment,1050,2,1.0,0,laundry on site,off-street parking,1,1,749
huntsville / decatur,apartment,768,1,1.0,0,w/d in unit,off-street parking,1,1,1265
huntsville / decatur,apartment,969,1,1.0,0,w/d in unit,off-street parking,1,1,749
huntsville / decatur,house,856,2,1.0,0,w/d hookups,off-street parking,0,1,850
huntsville / decatur,apartment,800,1,1.0,1,laundry on site,off-street parking,1,1,699
huntsville / decatur,apartment,969,2,2.0,0,w/d in unit,off-street parking,1,1,799
huntsville / decatur,apartment,969,2,1.0,0,w/d in unit,off-street parking,1,1,779
huntsville / decatur,apartment,1150,3,1.0,0,laundry on site,off-street parking,0,0,660
huntsville / decatur,apartment,1642,3,3.5,0,w/d hookups,off-street parking,1,1,1329
huntsville / decatur,apartment,783,1,1.0,0,w/d hookups,off-street parking,1,1,808
huntsville / decatur,apartment,864,1,1.0,0,w/d in unit,off-street parking,1,1,1275
huntsville / decatur,apartment,1638,3,2.0,0,w/d in unit,off-street parking,1,1,959
huntsville / decatur,apartment,600,2,1.0,0,laundry on site,off-street parking,1,1,620
huntsville / decatur,apartment,900,1,1.0,1,laundry on site,off-street parking,1,1,699
huntsville / decatur,apartment,640,1,1.0,0,laundry in bldg,off-street parking,1,1,749
anchorage / mat-su,apartment,900,2,1.0,0,w/d in unit,carport,0,0,1150
huntsville / decatur,apartment,969,2,1.0,0,w/d in unit,off-street parking,1,1,799
anchorage / mat-su,apartment,920,2,2.0,0,w/d in unit,off-street parking,1,1,1235
huntsville / decatur,apartment,990,2,1.0,0,laundry on site,off-street parking,1,1,610
huntsville / decatur,apartment,1000,2,1.5,0,w/d in unit,off-street parking,1,1,859
huntsville / decatur,apartment,1043,2,2.0,0,w/d in unit,off-street parking,1,1,1544
fairbanks,house,1700,3,1.5,0,w/d in unit,detached garage,1,1,2100
huntsville / decatur,apartment,1642,3,3.5,0,w/d hookups,off-street parking,1,1,1299
huntsville / decatur,apartment,990,2,1.0,0,laundry in bldg,off-street parking,1,1,610
huntsville / decatur,apartment,900,1,1.0,1,laundry on site,off-street parking,1,1,709
huntsville / decatur,apartment,900,2,1.0,1,w/d hookups,off-street parking,1,1,799
phoenix,apartment,585,1,1.0,0,laundry on site,carport,1,1,789
huntsville / decatur,apartment,600,1,1.0,0,laundry on site,off-street parking,1,1,629
huntsville / decatur,apartment,900,2,1.0,1,laundry on site,off-street parking,1,1,709
huntsville / decatur,house,1375,3,1.5,0,w/d hookups,off-street parking,0,0,700
huntsville / decatur,house,1480,4,2.0,0,w/d in unit,off-street parking,1,1,900
huntsville / decatur,apartment,1050,2,1.0,0,no laundry on site,off-street parking,1,1,749
huntsville / decatur,apartment,1190,2,2.0,0,w/d in unit,off-street parking,1,1,1604
huntsville / decatur,house,1104,3,1.5,0,w/d in unit,off-street parking,1,1,850
huntsville / decatur,apartment,1256,3,2.0,0,w/d hookups,no parking,1,1,1090
